Date,Open,High,Low,Last,Close,Volume
2020-01-06,1321.95,1340.0,1275.0,1285.0,1287.0,31293.0
2020-01-07,1298.0,1315.0,1289.0,1299.95,1306.75,27246.0
2020-01-08,1300.0,1318.0,1285.05,1307.4,1310.7,16798.0
2020-01-09,1319.0,1339.0,1285.0,1337.4,1322.1,49113.0
2020-01-10,1337.4,1405.8,1331.5,1378.0,1372.4,147240.0
2020-01-13,1379.4,1411.0,1370.1,1379.0,1376.85,37463.0
2020-01-14,1372.0,1411.0,1362.0,1369.0,1369.2,96552.0
2020-01-15,1373.8,1373.8,1315.0,1328.55,1327.05,89843.0
2020-01-16,1332.0,1345.0,1295.1,1300.05,1306.35,68577.0
2020-01-17,1307.15,1314.75,1292.05,1309.0,1302.75,35098.0
2020-01-20,1303.0,1316.0,1280.0,1287.85,1290.6,38416.0
2020-01-21,1290.0,1319.45,1286.0,1311.0,1310.15,37591.0
2020-01-22,1315.0,1315.35,1295.0,1304.55,1303.3,14625.0
2020-01-23,1309.0,1320.0,1302.0,1319.0,1316.4,13495.0
2020-01-24,1318.0,1364.85,1301.45,1321.0,1329.05,198401.0
2020-01-27,1312.0,1360.0,1312.0,1345.0,1339.6,45579.0
2020-01-28,1340.85,1352.0,1324.0,1336.0,1329.75,18818.0
2020-01-29,1331.0,1355.15,1331.0,1341.7,1342.25,17111.0
2020-01-30,1323.0,1346.85,1323.0,1332.0,1331.75,22645.0
2020-01-31,1349.0,1349.0,1295.0,1304.95,1310.7,16129.0
2020-02-01,1313.0,1328.55,1266.0,1270.0,1281.25,20836.0
2020-02-03,1282.0,1315.0,1282.0,1298.0,1292.3,20304.0
2020-02-04,1301.0,1324.0,1293.8,1310.05,1311.3,21892.0
2020-02-05,1318.0,1348.0,1313.95,1335.0,1338.5,38870.0
2020-02-06,1339.7,1360.95,1324.3,1334.95,1339.45,25507.0
2020-02-07,1333.0,1340.0,1316.0,1332.0,1328.95,35789.0
2020-02-10,1332.0,1379.0,1317.0,1340.0,1341.95,186488.0
2020-02-11,1349.0,1365.0,1322.0,1328.0,1334.2,45537.0
2020-02-12,1339.8,1344.0,1255.2,1267.0,1274.45,290668.0
2020-02-13,1273.0,1278.15,1226.15,1270.0,1268.65,208984.0
2020-02-14,1268.85,1280.0,1229.35,1230.0,1233.1,56198.0
2020-02-17,1254.0,1254.0,1213.0,1221.05,1223.5,85129.0
2020-02-18,1220.5,1227.0,1200.7,1203.0,1205.1,41542.0
2020-02-19,1210.0,1229.0,1202.0,1213.0,1209.75,40075.0
2020-02-20,1213.9,1246.9,1213.35,1228.65,1230.9,48608.0
2020-02-24,1225.0,1225.0,1190.0,1192.0,1191.95,44916.0
2020-02-25,1192.0,1217.9,1192.0,1202.0,1200.2,24401.0
2020-02-26,1195.0,1212.35,1190.0,1200.0,1201.4,25367.0
2020-02-27,1198.0,1203.0,1189.0,1198.0,1198.6,40112.0
2020-02-28,1188.0,1195.0,1175.0,1185.1,1185.0,39171.0
2020-03-02,1185.0,1198.9,1182.05,1190.0,1190.2,99510.0
2020-03-03,1199.0,1204.85,1154.0,1162.0,1161.0,45482.0
2020-03-04,1168.95,1178.65,1150.0,1155.0,1157.15,41444.0
2020-03-05,1167.8,1185.0,1160.0,1182.0,1180.55,27103.0
2020-03-06,1168.0,1221.0,1155.0,1220.0,1191.9,36939.0
2020-03-09,1180.0,1192.75,1096.7,1130.0,1129.85,81699.0
2020-03-11,1130.0,1143.0,1096.5,1110.05,1109.45,55300.0
2020-03-12,1087.95,1087.95,1000.0,1040.0,1038.6,57759.0
2020-03-13,1008.7,1029.95,830.9,1020.0,1006.8,113247.0
2020-03-16,1000.0,1018.45,947.0,970.0,963.85,492097.0
2020-03-17,980.0,980.0,920.0,940.0,948.8,48674.0
2020-03-18,974.0,974.0,899.3,907.0,905.1,32597.0
2020-03-19,880.0,925.0,835.0,901.95,895.9,280603.0
2020-03-20,898.5,969.95,851.05,950.0,949.55,42124.0
2020-03-23,825.0,999.0,805.0,881.0,863.05,58987.0
2020-03-24,900.0,900.0,821.2,830.0,830.15,34599.0
2020-03-25,801.0,850.0,801.0,826.0,834.55,58627.0
2020-03-26,835.7,870.2,829.55,860.0,861.3,29477.0
2020-03-27,915.15,915.15,835.0,850.95,852.5,34666.0
2020-03-30,839.55,889.0,826.0,880.0,881.4,30325.0
2020-03-31,910.0,949.0,866.75,934.3,935.4,141102.0
2020-04-01,935.4,949.0,904.9,914.3,929.65,14021.0
2020-04-03,914.3,949.0,893.0,935.0,934.15,40418.0
2020-04-07,969.9,1050.0,911.0,915.0,931.35,162985.0
2020-04-08,935.0,965.0,910.0,928.0,930.7,87757.0
2020-04-09,943.0,948.0,916.35,925.0,926.85,75668.0
2020-04-13,930.0,934.0,897.5,908.95,907.2,63007.0
2020-04-15,915.0,934.4,901.0,920.1,915.85,32470.0
2020-04-16,914.8,928.05,898.95,903.0,900.15,140790.0
2020-04-17,918.4,933.0,913.8,931.0,924.9,40359.0
2020-04-20,936.3,972.75,900.35,910.0,906.75,165835.0
2020-04-21,900.0,929.0,887.55,888.8,894.5,99664.0
