Date,Open,High,Low,Last,Close,Volume
2020-01-01,539.9,542.5,535.7,538.0,536.75,7642793.0
2020-01-02,536.0,541.9,535.85,540.8,540.6,10264223.0
2020-01-03,538.0,540.8,536.25,539.5,538.85,9594690.0
2020-01-06,537.25,537.25,523.8,525.7,525.7,12534334.0
2020-01-07,531.3,535.6,521.65,524.15,522.9,16101835.0
2020-01-08,516.0,527.35,515.0,525.8,525.95,16094310.0
2020-01-09,530.7,547.4,530.3,545.6,546.3,18934019.0
2020-01-10,544.9,546.5,538.5,540.15,540.25,12335407.0
2020-01-13,539.4,546.05,538.0,539.0,538.6,7901800.0
2020-01-14,536.2,538.95,534.15,538.15,537.6,13939440.0
2020-01-15,535.1,536.95,530.65,535.5,535.6,12353176.0
2020-01-16,533.9,540.0,533.2,536.8,537.15,11249232.0
2020-01-17,534.5,538.0,530.6,530.65,532.05,18312609.0
2020-01-20,533.0,544.0,531.0,534.7,534.85,19159996.0
2020-01-21,532.95,540.25,530.2,531.15,531.05,13477994.0
2020-01-22,531.5,534.95,520.75,522.0,522.85,17527408.0
2020-01-23,521.4,530.25,517.05,527.75,527.7,17061293.0
2020-01-24,529.25,537.4,527.0,535.45,533.85,17851868.0
2020-01-27,538.5,545.0,531.5,535.9,537.25,38149166.0
2020-01-28,538.1,540.6,524.45,528.0,528.2,24009224.0
2020-01-29,531.55,534.8,525.3,526.9,526.6,16400827.0
2020-01-30,527.65,533.95,524.15,531.1,532.2,14319317.0
2020-01-31,530.0,532.75,522.4,525.8,525.65,16292578.0
2020-02-01,524.0,528.0,501.85,505.5,504.6,11815597.0
2020-02-03,504.0,519.15,502.0,516.5,515.55,22531888.0
2020-02-04,520.0,534.65,516.65,530.65,530.8,17781475.0
2020-02-05,529.05,540.4,525.7,538.7,539.1,18782476.0
2020-02-06,540.35,547.0,536.25,541.1,541.6,15296851.0
2020-02-07,540.95,541.75,535.15,535.4,536.45,8297149.0
2020-02-10,538.65,542.25,530.5,535.0,533.95,12536053.0
2020-02-11,537.7,544.8,537.5,539.5,539.75,11243552.0
2020-02-12,545.8,550.7,542.7,549.4,549.3,14026335.0
2020-02-13,549.0,549.0,538.0,540.05,541.0,9227235.0
2020-02-14,541.25,548.65,536.55,545.8,545.8,14458649.0
2020-02-17,543.0,545.35,537.75,542.3,541.6,7793293.0
2020-02-18,541.0,544.4,536.0,540.9,541.2,15918303.0
2020-02-19,543.5,546.5,540.5,546.0,544.8,8704234.0
2020-02-20,545.5,549.35,541.8,546.5,547.0,13588526.0
2020-02-24,539.5,541.85,527.55,530.55,529.85,16940750.0
2020-02-25,532.45,538.8,525.3,530.9,530.95,14942960.0
2020-02-26,526.85,529.35,522.2,522.5,523.7,15743918.0
2020-02-27,522.8,523.3,512.65,514.4,515.35,26315054.0
2020-02-28,501.6,506.85,492.2,498.95,497.25,32737933.0
2020-03-02,508.25,520.55,498.45,505.9,506.1,28642076.0
2020-03-03,509.85,519.5,508.5,516.9,514.75,19661945.0
2020-03-04,517.5,517.5,497.05,508.95,508.35,21883404.0
2020-03-05,509.75,511.15,500.0,504.0,504.5,16671516.0
2020-03-06,485.0,496.8,477.3,485.75,486.35,31024353.0
2020-03-09,475.0,475.0,442.95,457.5,457.75,42027546.0
2020-03-11,450.0,471.75,449.6,465.55,465.65,31018901.0
2020-03-12,438.0,445.95,416.0,432.95,425.65,50757036.0
2020-03-13,401.0,464.75,395.2,449.95,447.2,67105024.0
2020-03-16,424.2,424.2,397.45,401.1,402.9,34834779.0
2020-03-17,407.0,408.45,364.0,366.95,367.25,47233442.0
2020-03-18,369.1,375.5,342.3,358.0,355.05,61204129.0
2020-03-19,336.1,369.6,323.0,335.4,338.55,57986210.0
2020-03-20,328.0,359.8,323.0,344.4,345.7,88640850.0
