Date,Open,High,Low,Last,Close,Volume
2020-10-12,214.9,216.95,171.95,171.95,171.95,39929204.0
2020-10-13,172.0,184.7,164.0,181.0,181.45,18862563.0
2020-10-14,180.45,187.4,178.1,181.5,182.25,6178509.0
2020-10-15,181.95,182.75,171.0,172.4,171.85,3193483.0
2020-10-16,173.75,175.45,165.0,168.3,168.05,3072942.0
2020-10-19,170.75,172.85,167.5,168.25,168.3,1922584.0
2020-10-20,167.7,169.8,165.4,165.65,166.05,1262381.0
2020-10-21,166.9,177.7,166.45,172.0,171.65,4477916.0
2020-10-22,172.3,174.9,167.7,170.4,170.65,2003364.0
2020-10-23,174.15,179.0,172.4,174.7,175.4,3573971.0
2020-10-26,175.95,175.95,170.0,170.75,170.8,927445.0
2020-10-27,170.9,171.55,167.45,168.7,168.85,774974.0
2020-10-28,169.95,171.2,167.0,167.15,167.25,931754.0
2020-10-29,167.15,169.0,166.2,167.25,167.0,905814.0
2020-10-30,167.5,169.7,165.0,166.3,166.75,953836.0
2020-11-02,166.75,172.5,165.3,168.55,168.35,1208681.0
2020-11-03,169.2,169.95,166.05,166.25,166.6,610024.0
2020-11-04,166.5,167.9,165.1,165.95,165.8,719104.0
2020-11-05,166.75,172.2,166.45,169.45,169.25,1502066.0
2020-11-06,169.55,174.0,169.0,169.65,170.05,1994558.0
2020-11-09,172.0,181.95,171.4,178.15,179.45,6497799.0
2020-11-10,179.25,179.25,170.75,172.45,172.4,2379955.0
2020-11-11,173.0,176.35,172.0,174.0,174.45,1638130.0
2020-11-12,174.6,178.0,172.5,176.95,176.05,1423822.0
2020-11-13,179.4,184.5,177.5,183.25,183.15,6506244.0
2020-11-14,184.9,190.8,184.0,190.0,188.25,2954791.0
2020-11-17,191.4,192.8,181.25,184.05,183.9,3800604.0
2020-11-18,184.0,186.5,183.0,183.2,183.4,1690667.0
2020-11-19,183.2,187.0,181.6,184.05,184.55,2163334.0
2020-11-20,185.75,188.8,183.8,184.4,184.45,2696783.0
2020-11-23,185.0,185.95,180.75,181.9,182.2,1493301.0
2020-11-24,182.75,185.5,180.9,181.35,181.4,1478112.0
2020-11-25,182.8,183.35,179.2,180.4,179.8,1477833.0
2020-11-26,180.45,181.45,178.35,179.5,179.25,1109635.0
2020-11-27,179.75,182.65,178.1,178.7,179.0,1913953.0
2020-12-01,180.45,183.5,180.35,182.25,182.0,1309783.0
2020-12-02,182.8,183.0,180.0,181.05,180.9,797822.0
2020-12-03,181.8,187.75,181.7,184.9,184.75,2529433.0
2020-12-04,185.0,185.85,181.9,182.4,182.4,1040179.0
2020-12-07,182.8,194.2,182.7,191.9,191.35,4321530.0
2020-12-08,192.5,195.3,187.1,188.5,188.7,2381609.0
2020-12-09,191.55,198.9,189.8,196.05,195.9,5333254.0
2020-12-10,195.45,196.75,190.0,192.25,191.8,1429930.0
2020-12-11,192.5,194.6,188.0,188.35,188.75,1610208.0
