Date,Symbol,Open,High,Low,Last,Close
2020-01-06,ABB,1321.95,1340,1275,1285,1287
2020-01-07,ABB,1298,1315,1289,1299.95,1306.75
2020-01-08,ABB,1300,1318,1285.05,1307.4,1310.7
2020-01-09,ABB,1319,1339,1285,1337.4,1322.1
2020-01-10,ABB,1337.4,1405.8,1331.5,1378,1372.4
2020-01-13,ABB,1379.4,1411,1370.1,1379,1376.85
2020-01-14,ABB,1372,1411,1362,1369,1369.2
2020-01-15,ABB,1373.8,1373.8,1315,1328.55,1327.05
2020-01-16,ABB,1332,1345,1295.1,1300.05,1306.35
2020-01-17,ABB,1307.15,1314.75,1292.05,1309,1302.75
2020-01-20,ABB,1303,1316,1280,1287.85,1290.6
2020-01-21,ABB,1290,1319.45,1286,1311,1310.15
2020-01-22,ABB,1315,1315.35,1295,1304.55,1303.3
2020-01-23,ABB,1309,1320,1302,1319,1316.4
2020-01-24,ABB,1318,1364.85,1301.45,1321,1329.05
2020-01-27,ABB,1312,1360,1312,1345,1339.6
2020-01-28,ABB,1340.85,1352,1324,1336,1329.75
2020-01-29,ABB,1331,1355.15,1331,1341.7,1342.25
2020-01-30,ABB,1323,1346.85,1323,1332,1331.75
2020-01-31,ABB,1349,1349,1295,1304.95,1310.7
2020-02-01,ABB,1313,1328.55,1266,1270,1281.25
2020-02-03,ABB,1282,1315,1282,1298,1292.3
2020-02-04,ABB,1301,1324,1293.8,1310.05,1311.3
2020-02-05,ABB,1318,1348,1313.95,1335,1338.5
2020-02-06,ABB,1339.7,1360.95,1324.3,1334.95,1339.45
2020-02-07,ABB,1333,1340,1316,1332,1328.95
2020-02-10,ABB,1332,1379,1317,1340,1341.95
2020-02-11,ABB,1349,1365,1322,1328,1334.2
2020-02-12,ABB,1339.8,1344,1255.2,1267,1274.45
2020-02-13,ABB,1273,1278.15,1226.15,1270,1268.65
2020-02-14,ABB,1268.85,1280,1229.35,1230,1233.1
2020-02-17,ABB,1254,1254,1213,1221.05,1223.5
2020-02-18,ABB,1220.5,1227,1200.7,1203,1205.1
2020-02-19,ABB,1210,1229,1202,1213,1209.75
2020-02-20,ABB,1213.9,1246.9,1213.35,1228.65,1230.9
2020-02-24,ABB,1225,1225,1190,1192,1191.95
2020-02-25,ABB,1192,1217.9,1192,1202,1200.2
2020-02-26,ABB,1195,1212.35,1190,1200,1201.4
2020-02-27,ABB,1198,1203,1189,1198,1198.6
2020-02-28,ABB,1188,1195,1175,1185.1,1185
2020-03-02,ABB,1185,1198.9,1182.05,1190,1190.2
2020-03-03,ABB,1199,1204.85,1154,1162,1161
2020-03-04,ABB,1168.95,1178.65,1150,1155,1157.15
2020-03-05,ABB,1167.8,1185,1160,1182,1180.55
2020-03-06,ABB,1168,1221,1155,1220,1191.9
2020-03-09,ABB,1180,1192.75,1096.7,1130,1129.85
2020-03-11,ABB,1130,1143,1096.5,1110.05,1109.45
2020-03-12,ABB,1087.95,1087.95,1000,1040,1038.6
2020-03-13,ABB,1008.7,1029.95,830.9,1020,1006.8
2020-03-16,ABB,1000,1018.45,947,970,963.85
2020-03-17,ABB,980,980,920,940,948.8
2020-03-18,ABB,974,974,899.3,907,905.1
2020-03-19,ABB,880,925,835,901.95,895.9
2020-03-20,ABB,898.5,969.95,851.05,950,949.55
2020-03-23,ABB,825,999,805,881,863.05
2020-03-24,ABB,900,900,821.2,830,830.15
2020-03-25,ABB,801,850,801,826,834.55
2020-03-26,ABB,835.7,870.2,829.55,860,861.3
2020-03-27,ABB,915.15,915.15,835,850.95,852.5
2020-03-30,ABB,839.55,889,826,880,881.4
2020-03-31,ABB,910,949,866.75,934.3,935.4
2020-04-01,ABB,935.4,949,904.9,914.3,929.65
2020-04-03,ABB,914.3,949,893,935,934.15
2020-04-07,ABB,969.9,1050,911,915,931.35
2020-04-08,ABB,935,965,910,928,930.7
2020-04-09,ABB,943,948,916.35,925,926.85
2020-04-13,ABB,930,934,897.5,908.95,907.2
2020-04-15,ABB,915,934.4,901,920.1,915.85
2020-04-16,ABB,914.8,928.05,898.95,903,900.15
2020-04-17,ABB,918.4,933,913.8,931,924.9
2020-04-20,ABB,936.3,972.75,900.35,910,906.75
2020-04-21,ABB,900,929,887.55,888.8,894.5
2020-04-22,ABB,900.85,921.8,887.05,909.95,908.05
2020-04-23,ABB,905,921.95,896.2,904,901.8
2020-04-24,ABB,901.8,906.55,890,892,893.45
2020-04-27,ABB,900,907,880.05,886.95,883.35
2020-04-28,ABB,892.5,906.45,868,871.8,873.4
2020-04-29,ABB,881,891.75,875,886.4,880.15
2020-04-30,ABB,900,913.15,890.1,904,900.55
2020-05-04,ABB,895,895,870,878.9,879.5
2020-05-05,ABB,893.8,896.05,870.05,874,873.2
2020-05-06,ABB,871,887.95,866.05,869.9,869.55
